timestamp,open,high,low,close,volume,Principal Component 1,Principal Component 2
2015/7/21,132.85,132.92,130.32,130.75,76756427,-2.542121944,-1.389795294
2015/7/22,121.99,125.5,121.99,125.22,115450607,-2.542121944,-1.389795294
2015/7/23,126.2,127.09,125.06,125.16,50999452,-2.542121944,-1.389795294
2015/7/24,125.32,125.74,123.9,124.5,42162332,-2.542121944,-1.389795294
2015/7/27,123.09,123.61,122.12,122.77,44455540,-2.542121944,-1.389795294
2015/7/28,123.38,123.91,122.55,123.38,33618097,-2.542121944,-1.389795294
2015/7/29,123.15,123.5,122.27,122.99,37011653,-2.542121944,-1.389795294
2015/7/30,122.32,122.5699,121.71,122.37,33628268,-2.542121944,-1.389795294
2015/7/31,122.6,122.6425,120.91,121.3,42884953,-2.542121944,-1.389795294
2015/8/3,121.5,122.57,117.52,118.44,69975968,-2.542121944,-1.389795294
2015/8/4,117.42,117.7,113.25,114.64,124138623,-2.542121944,-1.389795294
2015/8/5,112.95,117.44,112.1,115.4,98384461,-2.542121944,-1.389795294
2015/8/6,115.97,116.5,114.115,115.13,52903040,-2.542121944,-1.389795294
2015/8/7,114.58,116.25,114.5,115.52,38670405,-2.542121944,-1.389795294
2015/8/10,116.53,119.99,116.53,119.72,54951597,-2.542121944,-1.389795294
2015/8/11,117.81,118.18,113.33,113.49,97082814,-2.542121944,-1.389795294
2015/8/12,112.53,115.42,109.63,115.24,101685610,-2.542121944,-1.389795294
2015/8/13,116.04,116.4,114.54,115.15,48535789,-2.542121944,-1.389795294
2015/8/14,114.32,116.31,114.01,115.96,42929516,-2.542121944,-1.389795294
2015/8/17,116.04,117.65,115.5,117.16,40884745,-2.542121944,-1.389795294
2015/8/18,116.43,117.44,116.01,116.5,34560708,-2.542121944,-1.389795294
2015/8/19,116.1,116.52,114.68,115.01,48286510,-2.542121944,-1.389795294
2015/8/20,114.08,114.35,111.63,112.65,68501622,-2.542121944,-1.389795294
2015/8/21,110.43,111.9,105.645,105.76,128275471,-2.542121944,-1.389795294
2015/8/24,94.87,108.8,92.0,103.12,162206292,-2.542121944,-1.389795294
2015/8/25,111.11,111.11,103.5,103.74,103601599,-2.542121944,-1.389795294
2015/8/26,107.085,109.89,105.05,109.69,96774611,-2.542121944,-1.389795294
2015/8/27,112.25,113.24,110.02,112.92,84616056,-2.542121944,-1.389795294
2015/8/28,112.17,113.31,111.54,113.29,53164407,-2.542121944,-1.389795294
2015/8/31,112.13,114.53,112.0,112.76,56229271,-2.542121944,-1.389795294
2015/9/1,110.18,111.88,107.36,107.72,76845860,-2.542121944,-1.389795294
2015/9/2,110.0,112.34,109.131,112.34,61888812,-2.542121944,-1.389795294
2015/9/3,112.49,112.78,110.04,110.37,53233940,-2.542121944,-1.389795294
2015/9/4,108.97,110.45,108.51,109.27,49996311,-2.542121944,-1.389795294
2015/9/8,111.65,112.56,110.32,112.31,54843626,-2.542121944,-1.389795294
2015/9/9,113.76,114.02,109.77,110.15,85010804,-2.542121944,-1.389795294
2015/9/10,110.27,113.2825,109.9,112.57,62892831,-2.542121944,-1.389795294
2015/9/11,111.79,114.21,111.76,114.21,49915473,-2.542121944,-1.389795294
2015/9/14,116.58,116.89,114.86,115.31,58363431,-2.542121944,-1.389795294
2015/9/15,115.93,116.53,114.42,116.28,43341155,-2.542121944,-1.389795294
2015/9/16,116.25,116.54,115.44,116.41,37173489,-2.542121944,-1.389795294
2015/9/17,115.66,116.49,113.715,113.92,64112641,-2.542121944,-1.389795294
2015/9/18,112.21,114.3,111.87,113.45,74285291,-2.542121944,-1.389795294
2015/9/21,113.67,115.37,113.66,115.21,50221965,-2.542121944,-1.389795294
2015/9/22,113.38,114.18,112.5201,113.4,50346159,-2.542121944,-1.389795294
2015/9/23,113.63,114.72,113.3,114.32,35756716,-2.542121944,-1.389795294
2015/9/24,113.25,115.5,112.37,115.0,50219475,-2.542121944,-1.389795294
2015/9/25,116.44,116.69,114.02,114.71,56151926,-2.542121944,-1.389795294
2015/9/28,113.85,114.57,112.44,112.44,50782189,-3.04315562,-1.744641931
2015/9/29,112.83,113.51,107.86,109.06,73365384,-3.04315562,-1.744641931
2015/9/30,110.17,111.54,108.73,109.95,65041596,-3.04315562,-1.744641931
2015/10/1,109.07,109.62,107.31,109.58,63929100,-3.04315562,-1.744641931
2015/10/2,108.01,111.0136,107.55,110.38,58019758,-3.04315562,-1.744641931
2015/10/5,109.88,111.3698,109.07,110.78,52064743,-3.04315562,-1.744641931
2015/10/6,110.63,111.74,109.765,111.31,48856977,-3.04315562,-1.744641931
2015/10/7,111.74,111.77,109.41,110.78,46765550,-3.04315562,-1.744641931
2015/10/8,110.19,110.19,108.21,109.5,61979577,-3.04315562,-1.744641931
2015/10/9,110.0,112.28,109.49,112.12,52766140,-3.04315562,-1.744641931
2015/10/12,112.73,112.75,111.44,111.6,30467204,-3.04315562,-1.744641931
2015/10/13,110.82,112.45,110.68,111.79,33049256,-3.04315562,-1.744641931
2015/10/14,111.29,111.52,109.56,110.21,44462449,-3.04315562,-1.744641931
2015/10/15,110.93,112.1,110.49,111.86,37673452,-3.04315562,-1.744641931
2015/10/16,111.78,112.0,110.53,111.04,39232609,-3.04315562,-1.744641931
2015/10/19,110.8,111.75,110.11,111.73,29759153,-3.04315562,-1.744641931
2015/10/20,111.34,114.17,110.82,113.77,48967763,-3.04315562,-1.744641931
2015/10/21,114.0,115.58,113.7,113.76,42326974,-3.04315562,-1.744641931
2015/10/22,114.33,115.5,114.1,115.5,41654089,-3.04315562,-1.744641931
2015/10/23,116.7,119.228,116.33,119.08,59366914,-3.04315562,-1.744641931
2015/10/26,118.08,118.13,114.92,115.28,66333781,-3.04315562,-1.744641931
2015/10/27,115.4,116.54,113.99,114.55,69884400,-3.04315562,-1.744641931
2015/10/28,116.93,119.3,116.06,119.27,85551352,-3.04315562,-1.744641931
2015/10/29,118.7,120.69,118.27,120.53,51227334,-3.04315562,-1.744641931
2015/10/30,120.99,121.22,119.45,119.5,49365254,-3.04315562,-1.744641931
2015/11/2,119.87,121.36,119.61,121.18,32203267,-3.04315562,-1.744641931
2015/11/3,120.79,123.49,120.7,122.57,45518976,-3.04315562,-1.744641931
2015/11/4,123.13,123.82,121.62,122.0,44886050,-3.04315562,-1.744641931
2015/11/5,121.85,122.69,120.18,120.92,39552680,-3.04315562,-1.744641931
2015/11/6,121.11,121.81,120.62,121.06,33042283,-3.04315562,-1.744641931
2015/11/9,120.96,121.81,120.05,120.57,33871405,-3.04315562,-1.744641931
2015/11/10,116.9,118.07,116.061,116.77,59127931,-3.04315562,-1.744641931
2015/11/11,116.37,117.42,115.21,116.11,45217971,-3.04315562,-1.744641931
2015/11/12,116.26,116.82,115.65,115.72,32525579,-3.04315562,-1.744641931
2015/11/13,115.2,115.57,112.27,112.34,45812403,-3.04315562,-1.744641931
2015/11/16,111.38,114.24,111.0,114.175,38106701,-3.04315562,-1.744641931
2015/11/17,114.92,115.05,113.32,113.69,27583101,-3.04315562,-1.744641931
2015/11/18,115.76,117.49,115.5,117.29,46674697,-3.04315562,-1.744641931
2015/11/19,117.64,119.75,116.76,118.78,43295820,-3.04315562,-1.744641931
2015/11/20,119.2,119.92,118.85,119.3,34287096,-3.04315562,-1.744641931
2015/11/23,119.27,119.73,117.34,117.75,32482528,-3.04315562,-1.744641931
2015/11/24,117.33,119.35,117.12,118.88,42803172,-3.04315562,-1.744641931
2015/11/25,119.21,119.23,117.92,118.03,21388308,-3.04315562,-1.744641931
2015/11/27,118.29,118.41,117.6,117.81,13046445,-3.04315562,-1.744641931
2015/11/30,117.99,119.41,117.75,118.3,39180322,-3.04315562,-1.744641931
2015/12/1,118.75,118.81,116.86,117.34,34852374,-3.04315562,-1.744641931
2015/12/2,117.05,118.11,116.08,116.28,33386563,-3.04315562,-1.744641931
2015/12/3,116.55,116.79,114.22,115.2,41569509,-3.04315562,-1.744641931
2015/12/4,115.29,119.25,115.11,119.03,57776977,-3.04315562,-1.744641931
2015/12/7,118.98,119.86,117.81,118.28,32084249,-3.04315562,-1.744641931
2015/12/8,117.52,118.6,116.86,118.23,34309450,-3.04315562,-1.744641931
2015/12/9,117.64,117.69,115.08,115.62,46361357,-3.04315562,-1.744641931
2015/12/10,116.04,116.94,115.51,116.17,29212727,-3.04315562,-1.744641931
2015/12/11,115.19,115.39,112.851,113.18,46886161,-3.04315562,-1.744641931
2015/12/14,112.18,112.68,109.79,112.48,65003609,-3.04315562,-1.744641931
2015/12/15,111.94,112.8,110.35,110.49,53323105,-3.04315562,-1.744641931
2015/12/16,111.07,111.99,108.8,111.34,56238467,-3.04315562,-1.744641931
2015/12/17,112.02,112.25,108.98,108.98,44772827,-3.04315562,-1.744641931
2015/12/18,108.91,109.52,105.81,106.03,96453327,-3.04315562,-1.744641931
2015/12/21,107.28,107.37,105.57,107.33,47590610,-3.04315562,-1.744641931
2015/12/22,107.4,107.72,106.451,107.23,32789367,-3.04315562,-1.744641931
2015/12/23,107.27,108.85,107.2,108.61,32657354,-3.04315562,-1.744641931
2015/12/24,109.0,109.0,107.95,108.03,13596680,-3.04315562,-1.744641931
2015/12/28,107.59,107.69,106.1807,106.82,26704210,-2.971160577,-2.753191019
2015/12/29,106.96,109.43,106.86,108.74,30931243,-2.971160577,-2.753191019
2015/12/30,108.58,108.7,107.18,107.32,25213777,-2.971160577,-2.753191019
2015/12/31,107.01,107.03,104.82,105.26,40912316,-2.971160577,-2.753191019
2016/1/4,102.61,105.368,102.0,105.35,67649387,-2.971160577,-2.753191019
2016/1/5,105.75,105.85,102.41,102.71,55790992,-2.971160577,-2.753191019
2016/1/6,100.56,102.37,99.87,100.7,68457388,-2.971160577,-2.753191019
2016/1/7,98.68,100.13,96.43,96.45,81094428,-2.971160577,-2.753191019
2016/1/8,98.55,99.11,96.76,96.96,70798016,-2.971160577,-2.753191019
2016/1/11,98.97,99.06,97.34,98.53,49739377,-2.971160577,-2.753191019
2016/1/12,100.55,100.69,98.8399,99.96,49154227,-2.971160577,-2.753191019
2016/1/13,100.32,101.19,97.3,97.39,62439631,-2.971160577,-2.753191019
2016/1/14,97.96,100.48,95.74,99.52,63170127,-2.971160577,-2.753191019
2016/1/15,96.2,97.71,95.36,97.13,79833891,-2.971160577,-2.753191019
2016/1/19,98.41,98.65,95.5,96.66,53087747,-2.971160577,-2.753191019
2016/1/20,95.1,98.1897,93.42,96.79,72334416,-2.971160577,-2.753191019
2016/1/21,97.06,97.88,94.94,96.3,52161463,-2.971160577,-2.753191019
2016/1/22,98.63,101.46,98.37,101.42,65800467,-2.971160577,-2.753191019
2016/1/25,101.52,101.53,99.21,99.44,51794525,-2.971160577,-2.753191019
2016/1/26,99.93,100.88,98.07,99.99,75077002,-2.971160577,-2.753191019
2016/1/27,96.04,96.6289,93.34,93.42,133369674,-2.971160577,-2.753191019
2016/1/28,93.79,94.52,92.39,94.09,55678825,-2.971160577,-2.753191019
2016/1/29,94.79,97.34,94.35,97.34,64416504,-2.971160577,-2.753191019
2016/2/1,96.47,96.71,95.4,96.43,40943541,-2.971160577,-2.753191019
2016/2/2,95.42,96.04,94.28,94.48,37357215,-2.971160577,-2.753191019
2016/2/3,95.0,96.84,94.08,96.35,45964294,-2.971160577,-2.753191019
2016/2/4,95.86,97.33,95.19,96.6,46471652,-2.971160577,-2.753191019
2016/2/5,96.52,96.92,93.69,94.02,46418064,-2.971160577,-2.753191019
2016/2/8,93.13,95.7,93.04,95.01,54021375,-2.971160577,-2.753191019
2016/2/9,94.29,95.94,93.93,94.99,44331195,-2.971160577,-2.753191019
2016/2/10,95.92,96.35,94.1,94.27,42343601,-2.971160577,-2.753191019
2016/2/11,93.79,94.72,92.59,93.7,50074711,-2.971160577,-2.753191019
2016/2/12,94.19,94.5,93.01,93.99,40351381,-2.971160577,-2.753191019
2016/2/16,95.02,96.85,94.61,96.64,49057916,-2.971160577,-2.753191019
2016/2/17,96.67,98.21,96.15,98.12,44863243,-2.971160577,-2.753191019
2016/2/18,98.84,98.89,96.091,96.26,39020983,-2.971160577,-2.753191019
2016/2/19,96.0,96.7599,95.8,96.04,35374173,-2.971160577,-2.753191019
2016/2/22,96.31,96.9,95.92,96.88,34280758,-2.971160577,-2.753191019
2016/2/23,96.4,96.5,94.55,94.69,31942633,-2.971160577,-2.753191019
2016/2/24,93.98,96.38,93.32,96.1,36255745,-2.971160577,-2.753191019
2016/2/25,96.05,96.76,95.25,96.76,27582659,-2.971160577,-2.753191019
2016/2/26,97.2,98.0237,96.58,96.91,28991131,-2.971160577,-2.753191019
2016/2/29,96.86,98.23,96.65,96.69,35216277,-2.971160577,-2.753191019
2016/3/1,97.65,100.77,97.42,100.53,50407147,-2.971160577,-2.753191019
2016/3/2,100.51,100.89,99.64,100.75,33169560,-2.971160577,-2.753191019
2016/3/3,100.58,101.7099,100.45,101.5,36955742,-2.971160577,-2.753191019
2016/3/4,102.37,103.75,101.37,103.01,46055100,-2.971160577,-2.753191019
2016/3/7,102.39,102.83,100.96,101.87,35915810,-2.971160577,-2.753191019
2016/3/8,100.78,101.76,100.4,101.03,31182194,-2.971160577,-2.753191019
2016/3/9,101.31,101.58,100.27,101.12,27201683,-2.971160577,-2.753191019
2016/3/10,101.41,102.24,100.15,101.17,33513577,-2.971160577,-2.753191019
2016/3/11,102.24,102.28,101.5,102.26,27408237,-2.971160577,-2.753191019
2016/3/14,101.91,102.91,101.78,102.52,25076062,-2.971160577,-2.753191019
2016/3/15,103.96,105.18,103.85,104.58,40067734,-2.971160577,-2.753191019
2016/3/16,104.61,106.31,104.59,105.97,38303493,-2.971160577,-2.753191019
2016/3/17,105.52,106.47,104.96,105.8,34420705,-2.971160577,-2.753191019
2016/3/18,106.34,106.5,105.19,105.92,44205171,-2.971160577,-2.753191019
2016/3/21,105.93,107.65,105.1401,105.91,35502678,-2.971160577,-2.753191019
2016/3/22,105.25,107.29,105.21,106.72,32444375,-2.971160577,-2.753191019
2016/3/23,106.48,107.07,105.9,106.13,25703495,-2.971160577,-2.753191019
2016/3/24,105.47,106.25,104.89,105.67,26132955,-2.971160577,-2.753191019
2016/3/28,106.0,106.19,105.06,105.19,19411372,-3.827573817,-1.166211739
2016/3/29,104.89,107.79,104.88,107.68,31190083,-3.827573817,-1.166211739
2016/3/30,108.65,110.42,108.6,109.56,45601149,-3.827573817,-1.166211739
